Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Weather_Description,Work_Suitability,Flood_Risk
"Hazira, Gujarat",1/14/2024,34.97,45.92,4.020118716,12.06,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",5/17/2024,29.68,37.03,9.111623448,15.65,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",5/11/2024,29.19,64.69,4.607511377,16.61,Moderate Rainfall,Yes,High
"Jagdishpur, Uttar Pradesh",2/26/2024,34.85,44.06,3.183719748,15.79,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",4/29/2024,25.12,35.76,9.598282137,24.79,Heavy Rainfall,No,High
"Bijaipur, Madhya Pradesh",1/21/2024,22.65,55.31,9.166543303,21.64,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",1/13/2024,24.37,63.28,0.221709043,9.93,Clear,Yes,Low
"Kochi, Kerala",1/25/2024,29.35,86.85,8.027623514,14.16,Heavy Rainfall,No,High
"Kota, Rajasthan",3/29/2024,41.72,47.32,3.640129169,13.65,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",5/18/2024,29.07,41.86,4.101492972,17.45,Moderate Rainfall,Yes,High
"Indore, Madhya Pradesh",3/4/2024,31.11,42.1,8.349194966,21.96,Heavy Rainfall,No,High
"Gandhar, Gujarat",3/7/2024,32.81,61.47,3.760004186,17.74,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2/27/2024,25.45,40.03,3.552671054,19.52,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",5/9/2024,28.27,79.62,0.470781843,10.09,Other,Yes,Low
Delhi,5/12/2024,32.89,47.2,1.263722159,17.04,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",3/9/2024,28.29011469,35.23916969,9.347204733,14.06676464,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",2/10/2024,35.76,78.61,0.109090218,13.38,Clear,Yes,Low
"Raipur, Chhattisgarh",1/6/2024,36.78,49.33,0.496024001,16.03,Clear,Yes,Low
"Hazira, Gujarat",1/25/2024,31.32,41.66,0.212142687,12.01,Clear,Yes,Low
"Vijaipur, Madhya Pradesh",2/19/2024,25.96,48.06,1.905730597,28.75,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2/14/2024,29.51,71.42,9.250558827,10.42,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",4/22/2024,35.66,67.62,3.583559549,11.83,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",1/11/2024,30.8,35.94,4.072880334,19.31,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",3/5/2024,33.57,44.92,7.0663815,12.92,Heavy Rainfall,No,Low
"Pata, Uttar Pradesh",3/27/2024,12.86,45.11,9.693765837,5.16,Heavy Rainfall,No,High
"Kochi, Kerala",2/8/2024,24.84,70.26,6.906614157,15.07,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",1/4/2024,37.75,26.58,3.342764687,10.71,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2/15/2024,25.88,63.31,4.550642656,23.95,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2/2/2024,26.76,40.96,5.473386906,21.92,Moderate Rainfall,Yes,High
"Gandhar, Gujarat",2/22/2024,35.93,56.01,4.809864949,14.12,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",4/16/2024,31.59,54.82,0.128803117,10.56,Clear,Yes,Low
"Mumbai, Maharashtra",2/29/2024,30.56,65.39,2.462747793,16.91,Moderate Rainfall,Yes,Low
Delhi,4/20/2024,28.85,29.27,1.795374482,10.74,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",3/22/2024,17.43949491,56.21016081,9.72897082,9.497026568,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",3/16/2024,36.23,69.13,7.767704375,17.72,Heavy Rainfall,No,High
"Raipur, Chhattisgarh",1/29/2024,22.12,34.28,5.210117251,6.61,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",4/1/2024,18.33,59.36,2.624327941,13.86,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",4/21/2024,26.28,42.1,4.878106976,9.52,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",4/3/2024,27.68,64.37,1.40519717,18.35,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2/19/2024,24.3,48.89,1.123494472,18.13,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",5/18/2024,31.25,72.7,6.664136009,24.91,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/24/2024,28.03,50.84,9.02769073,11.06,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",3/3/2024,20.18,62.73,1.328726429,27.38,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",4/3/2024,29.45,42.12,4.669552853,26.63,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",3/24/2024,22.86,51.21,4.51432276,3.26,Moderate Rainfall,Yes,Low
"Kochi, Kerala",4/5/2024,24.69,93.17,6.792912658,7.19,Moderate Rainfall,Yes,High
"Kota, Rajasthan",3/26/2024,28.11,29.11,5.767120387,19.85,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",5/8/2024,35.54,49.93,6.088405819,11.07,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2/10/2024,33.46,53.27,7.113659332,22.09,Heavy Rainfall,No,Low
"Gandhar, Gujarat",3/31/2024,26.11,54.15,1.97600954,18.25,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",3/15/2024,24.08,42.94,2.810242012,10.7,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",3/27/2024,30.13,64.69,6.44044913,10.25,Moderate Rainfall,Yes,Low
Delhi,2/19/2024,26.18,51.77,0.961290884,26.68,Clear,Yes,Low
"Bengaluru, Karnataka",3/15/2024,23.03489275,61.83627506,5.984887195,23.05235781,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",1/18/2024,36.08,74.81,6.136890967,15.94,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",1/25/2024,28.59,49.56,6.896760568,9.18,Moderate Rainfall,Yes,High
"Agra, Uttar Pradesh",2/11/2024,22.56,30.36,4.860976002,11.86,Moderate Rainfall,Yes,High
"Noida, Uttar Pradesh",1/10/2024,25.41,36.69,8.355548511,15.15,Heavy Rainfall,No,High
"Hazira, Gujarat",5/6/2024,35.32,67.99,7.589245088,8.53,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2/17/2024,31.57,58.01,7.531080295,22.02,Heavy Rainfall,No,Low
"Kakinada, Andhra Pradesh",2/5/2024,25.02,76.78,2.074994496,26.11,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",3/5/2024,23.23,66.8,0.220341533,22.61,Clear,Yes,Low
"Bina, Madhya Pradesh",2/6/2024,30.9,50.95,3.673384684,16.41,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2/27/2024,35.48,40.2,8.170773092,20.54,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",3/16/2024,10.47,69.91,6.051314925,4.67,Moderate Rainfall,Yes,Low
"Kochi, Kerala",5/4/2024,27.65,83.37,4.983685023,17,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",2/16/2024,30.08,29.6,6.041030922,9.37,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",4/13/2024,39.91,48.79,8.649920784,12.58,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",1/6/2024,30.81,50.64,4.580279155,12.2,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",3/5/2024,28.96,55.92,6.77100976,15.44,Moderate Rainfall,Yes,High
"Jamnagar, Gujarat",1/18/2024,36.19,47.26,2.171005951,13.64,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",1/15/2024,24.95,88.87,3.698849637,24.54,Moderate Rainfall,Yes,Low
Delhi,3/13/2024,18.41,43.22,5.597309931,27.82,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",4/15/2024,-8.956553013,80.73161943,2.552757895,4.020764669,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",1/22/2024,28.23,82.7,1.258271331,19.91,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",4/4/2024,25.86,31.49,1.963732183,12.98,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",4/25/2024,33.8,31.46,1.554025508,16.17,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",5/17/2024,29.76,35.16,5.329172081,19.3,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",2/17/2024,32.22,58.95,8.453786764,5.29,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2/17/2024,37.59,41.76,7.893232502,24.85,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",3/6/2024,27.89,63.97,0.034862375,22.77,Other,Yes,Low
"Jagdishpur, Uttar Pradesh",5/5/2024,29.92,50.78,1.715967561,20.25,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2/2/2024,38.47,40.46,2.753189784,23.72,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",4/30/2024,33.88,43.72,1.879023698,24.7,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",4/3/2024,14.31,59.94,5.163653941,10.2,Moderate Rainfall,Yes,Low
"Kochi, Kerala",1/28/2024,25.76,77.99,7.476354663,8.19,Heavy Rainfall,No,Low
"Kota, Rajasthan",5/10/2024,34.47,25.22,9.645094702,10.95,Heavy Rainfall,No,High
"Nagpur, Maharashtra",4/16/2024,28.13,46.54,4.183074542,10.72,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",4/16/2024,23.06,51.93,2.160635538,22.09,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",1/22/2024,29.38,57.53,5.010062451,17.57,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",1/5/2024,23.44,64.19,6.322696188,16.85,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2/24/2024,30.92,67.77,4.204966179,12.19,Moderate Rainfall,Yes,Low
Delhi,4/18/2024,11.4,29.76,2.599194955,23.71,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",2/26/2024,15.80875446,34.91319187,0.738384621,14.92487277,Clear,Yes,Low
"Chennai, Tamil Nadu",3/10/2024,31.11,67.39,4.054785917,11.81,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",3/15/2024,25,51.04,1.591349071,14.36,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",2/17/2024,32.76,30.72,5.813487824,5.58,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",4/10/2024,28.44,30.95,3.370443906,17.16,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",1/14/2024,31.3,40.75,9.980316289,15.27,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",1/9/2024,28.87,49.09,11.87824649,25.1,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",1/8/2024,34.83,70.02,6.023869393,22.53,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2/16/2024,18.51,63.42,0.653020729,15.23,Clear,Yes,Low
"Bina, Madhya Pradesh",1/18/2024,32.6,61.43,4.297327574,11.41,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2/2/2024,22.31,49.77,13.98165648,18.91,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",5/2/2024,10.07,51.83,7.864779614,4.01,Heavy Rainfall,No,Low
"Kochi, Kerala",2/3/2024,24.03,90.16,0.209520589,7.49,Clear,Yes,Low
