Temperature,Wind speed,Rain in mm,Location,Work Suitability
49.79325588,90.35012908,82.9,Bangalore,No
48.91578523,39.12875324,85.2,Bangalore,No
19.6,12,44.4,Vijaipur,No
31.1,1.6,20.5,Vijaipur,No
17.6,3.1,54.4,Bangalore,No
23.2,9.9,26.4,Guwahati,No
46.28983856,71.48829118,66.6,Vijaipur,No
16.5,3.5,95.3,Vijaipur,No
26.4,9.9,20.4,Vijaipur,No
29.9,11.4,74.9,Bangalore,No
44.55111175,37.2400506,33.1,Guwahati,No
20.9,12.4,30.5,Bangalore,No
42.71667114,63.92440278,57.9,Bangalore,No
16.5,10.3,58.7,Bangalore,No
34.1,11.7,0.1,Bangalore,Yes
20.4,8.9,87.8,Vijaipur,No
25.1,9.9,63.8,Guwahati,No
38.3252063,88.61399589,89.9,Bangalore,No
15.2,14.6,26.2,Guwahati,No
23.9,4.9,49.9,Bangalore,No
36.06959304,77.44123368,24.7,Guwahati,No
33.6,14.7,25.3,Guwahati,No
26.3,5.9,13.6,Vijaipur,Yes
18.4,3.1,31.4,Vijaipur,No
15.4,14.7,47.9,Bangalore,No
18.8,2.2,68.9,Guwahati,No
17.2,8,25.7,Guwahati,No
29.1,11.7,41.1,Vijaipur,No
46.19572077,82.11383768,67.9,Vijaipur,No
18.1,8,25.4,Vijaipur,No
23.7,7.9,39,Vijaipur,No
39.60862184,75.54148959,9.8,Guwahati,No
20.7,15,60.6,Bangalore,No
26.4,1.5,45.6,Vijaipur,No
25.2,10.8,99.7,Vijaipur,No
24.8,7.5,74.1,Bangalore,No
17.2,6.9,12.9,Guwahati,No
18.9,10.3,95.7,Bangalore,No
33.5,4,81.7,Guwahati,No
49.86517248,94.42382564,85.8,Vijaipur,No
30.7,10.8,46.4,Vijaipur,No
18,9.1,98.5,Vijaipur,No
47.57967857,39.37998299,33.2,Vijaipur,No
34.6,7.9,12.4,Guwahati,Yes
29.8,2.5,63.6,Bangalore,No
30.2,13.7,18.2,Guwahati,Yes
37.19807892,90.61454215,22.4,Bangalore,No
25,4.8,26.8,Bangalore,No
19,9,30.7,Bangalore,No
48.20217225,90.76288981,80.6,Vijaipur,No
20.4,3.5,47.4,Vijaipur,No
16.4,13.6,10.8,Bangalore,No
29.4,14.4,28.5,Vijaipur,No
33.9,12.4,32.8,Vijaipur,No
21.3,7.9,98.6,Vijaipur,No
29.2,3.5,75,Bangalore,No
15.3,11.7,41.2,Guwahati,No
32.9,2.3,60.5,Vijaipur,No
24.9,3.9,93.1,Guwahati,No
29.5,1.9,31.3,Guwahati,No
26.3,4,26.6,Bangalore,No
24.3,5.7,34.6,Bangalore,No
17.3,13.6,40.7,Guwahati,No
47.60259545,98.14478859,21,Vijaipur,No
18,10.4,98.4,Guwahati,No
19.2,13.7,28.8,Vijaipur,No
47.24420567,36.44453384,59.4,Guwahati,No
27.9,1.4,2.3,Vijaipur,Yes
49.13373647,50.32522816,37.1,Bangalore,No
44.28743854,25.86748286,89.9,Bangalore,No
23.6,12.7,2.5,Guwahati,Yes
35,2.5,96.9,Bangalore,No
31.1,12.4,1.2,Guwahati,Yes
25.8,2.3,80.2,Vijaipur,No
47.66164082,49.37356416,20.4,Guwahati,No
48.74282429,38.91527785,79.6,Vijaipur,No
30.9,8.3,18.1,Bangalore,Yes
34,5.6,20.8,Guwahati,No
17.1,8.1,22,Guwahati,No
31.4,6.8,77.2,Vijaipur,No
23.8,11.8,76.3,Vijaipur,No
37.04014036,29.58786313,96.5,Vijaipur,No
36.76967452,46.6121978,81.5,Vijaipur,No
21.6,1.2,18.5,Vijaipur,Yes
37.26267946,68.8307701,83.6,Vijaipur,No
27.9,11,8.8,Guwahati,Yes
24.8,11.3,60.3,Guwahati,No
25.9,12.5,78.6,Vijaipur,No
32.4,12.9,11.1,Guwahati,Yes
49.37742293,61.94959872,94.7,Bangalore,No
41.34944766,63.64797806,20.9,Vijaipur,No
35,3.3,58.5,Guwahati,No
45.56848257,75.30956904,21.6,Bangalore,No
18.9,7.8,13.5,Bangalore,Yes
29.5,11.5,1.3,Guwahati,Yes
20.2,1.9,10.1,Bangalore,Yes
20.4,5.1,66.3,Bangalore,No
32.4,7.3,45.8,Guwahati,No
26.8,11.2,73.8,Vijaipur,No
46.45802374,83.18703561,46,Guwahati,No
42.94730236,37.89412518,58,Bangalore,No
35.87326061,25.19871747,57,Vijaipur,No
44.77969759,42.22575037,47.7,Bangalore,No
29.2,6.7,18.6,Vijaipur,Yes
21.4,8.9,95.1,Bangalore,No
31.4,1.7,25.3,Guwahati,No
45.30408468,79.65256083,81.4,Vijaipur,No
19.4,13.9,36.7,Guwahati,No
38.84284332,79.68922325,53.7,Vijaipur,No
17.9,8.6,50.8,Vijaipur,No
30.6,9.3,15.4,Bangalore,Yes
18.3,5.8,49.6,Bangalore,No
32,13.1,83.7,Guwahati,No
22.2,3,68.1,Vijaipur,No
26.9,7.1,54.2,Bangalore,No
21.9,11.2,8.4,Bangalore,Yes
31.7,11,2.3,Vijaipur,Yes
17.3,2.5,13.9,Vijaipur,No
31.7,14.5,84,Vijaipur,No
27.2,2,38.2,Bangalore,No
31.7,11.2,94.9,Guwahati,No
19.1,10.8,13.6,Vijaipur,Yes
18.4,4.5,89.1,Guwahati,No
35.90277286,65.46943915,24.3,Bangalore,No
16.1,5.3,34.6,Guwahati,No
34.6,5.1,13.1,Bangalore,Yes
41.5133114,38.50949796,62.6,Bangalore,No
17.8,10.7,9.8,Vijaipur,No
48.82795495,58.3164062,41.2,Vijaipur,No
30.5,4.9,89.2,Guwahati,No
25.6,1.3,98.5,Bangalore,No
16.3,13.2,99.2,Bangalore,No
23.8,1,39.6,Guwahati,No
35.65908157,86.91721697,25.5,Vijaipur,No
20.1,8.9,65,Bangalore,No
41.70646328,79.1819156,33.9,Bangalore,No
27.8,6.4,43.8,Bangalore,No
22.1,12.7,83.2,Guwahati,No
48.44101401,44.50003858,39.8,Bangalore,No
49.26807951,93.72919669,54.8,Guwahati,No
15.4,8.1,56.8,Bangalore,No
31.6,13.9,53.6,Bangalore,No
30.1,4.5,17.2,Vijaipur,Yes
29.4,8.7,55.5,Guwahati,No
23.6,2.4,30.3,Guwahati,No
18.9,14,18.1,Bangalore,Yes
31.3,11.1,31.1,Vijaipur,No
29,9.4,50.8,Guwahati,No
17.6,6.7,15.4,Vijaipur,No
34.4,12.6,55.4,Guwahati,No
26.4,9.5,2.7,Bangalore,Yes
32.4,8.5,33.1,Guwahati,No
48.35896176,61.73490965,49.2,Guwahati,No
24,13.1,61.8,Vijaipur,No
15.1,10.8,10.2,Bangalore,No
31.3,4.6,47.3,Guwahati,No
16.7,11.2,59.8,Vijaipur,No
26.5,12.6,59.7,Guwahati,No
26.4,11.9,16.3,Bangalore,Yes
16.1,3.3,59.1,Bangalore,No
21.7,3.9,45.1,Vijaipur,No
34.4,3.8,60.1,Guwahati,No
21.4,7.7,79,Vijaipur,No
32.2,3.1,89.5,Bangalore,No
47.25249157,53.2667173,95.8,Vijaipur,No
22.5,14.4,60.6,Vijaipur,No
47.85264132,38.27171262,45.2,Bangalore,No
36.76286554,60.24747211,36.2,Vijaipur,No
21.4,3.5,19.8,Guwahati,Yes
23.7,6.7,89.1,Guwahati,No
15.4,9.6,26.3,Vijaipur,No
15.3,3.9,94.7,Vijaipur,No
34.1,13.9,80.8,Bangalore,No
34.9,13.7,76.3,Vijaipur,No
16.2,7.6,2.9,Vijaipur,No
15.2,3.6,80.5,Vijaipur,No
31.1,12.6,5.7,Guwahati,Yes
30.9,11.7,38.1,Bangalore,No
37.23254454,78.27536121,95.3,Guwahati,No
48.44975727,78.56445712,98.4,Bangalore,No
29,12.5,93.8,Vijaipur,No
18.6,7.9,88.7,Guwahati,No
46.16854866,87.10296469,68.6,Guwahati,No
22,12,95.6,Guwahati,No
31.9,9.3,87.1,Guwahati,No
20,2.3,36.4,Guwahati,No
16.8,3.9,0.9,Guwahati,No
42.44515777,91.10739357,22,Guwahati,No
24.7,10.8,21.9,Bangalore,No
42.18655685,62.85456254,33,Guwahati,No
15.8,11.4,89.9,Vijaipur,No
20,3.2,68.8,Bangalore,No
27.2,7.7,37.3,Vijaipur,No
23,6.3,62.5,Guwahati,No
30.9,2.9,69.8,Guwahati,No
27.9,13.9,7.3,Vijaipur,Yes
21.1,13.3,78.8,Guwahati,No
17.5,2,16.4,Bangalore,No
27.4,2.7,12,Guwahati,Yes
21.1,1.4,7.8,Guwahati,Yes
32.5,7.7,26.6,Vijaipur,No
21.2,13.4,3.4,Guwahati,Yes
22.9,9.7,89.2,Bangalore,No
34.5,14.3,28.7,Vijaipur,No
37.50423239,97.43644028,95.9,Guwahati,No
21.8,12.6,41.2,Bangalore,No
44.29474356,56.35590497,52.3,Guwahati,No
22.4,3.9,71.5,Guwahati,No
32.7,9.7,1.1,Vijaipur,Yes
18.4,2.5,83.2,Bangalore,No
34.7,14.6,24.9,Guwahati,No
34.8,10,32.6,Vijaipur,No
38.45876592,90.29576038,81.4,Bangalore,No
32.2,8.5,11.8,Vijaipur,Yes
43.78634311,38.69189829,73.6,Bangalore,No
31.9,2.4,99.3,Bangalore,No
46.54756487,91.03549049,42.5,Guwahati,No
43.64648528,57.63430413,85.8,Vijaipur,No
45.62790247,62.05842729,85.3,Bangalore,No
25.8,14.3,32.8,Guwahati,No
45.65150235,37.69926713,6.8,Vijaipur,No
15,1.5,80.7,Vijaipur,No
28.6,14.5,43.8,Guwahati,No
25.7,8.1,47.8,Guwahati,No
26.4,1.1,12.9,Vijaipur,Yes
23,8,83.8,Vijaipur,No
31.4,12.7,6.7,Guwahati,Yes
44.44953969,77.38412839,92,Guwahati,No
19.6,6.6,26.1,Guwahati,No
39.6576446,62.36869795,86.7,Guwahati,No
28.1,8.6,40,Vijaipur,No
48.25125239,67.68108413,50.7,Guwahati,No
20.2,1.9,58.8,Bangalore,No
22.3,7.1,45.4,Bangalore,No
26.1,12.5,53.4,Vijaipur,No
27.3,13.3,39.6,Bangalore,No
28.4,12.3,18.5,Vijaipur,Yes
19.8,1.8,4.1,Bangalore,Yes
27,7.6,73.2,Vijaipur,No
32,5.7,81.2,Vijaipur,No
27.2,10.9,8.7,Bangalore,Yes
32.2,14.1,28.2,Vijaipur,No
24.4,3.8,22.3,Vijaipur,No
21.2,3,27.3,Bangalore,No
45.69129007,65.41937143,54,Bangalore,No
15.3,8,98.5,Guwahati,No
22.3,6.3,75.2,Bangalore,No
30.6,13.4,59.3,Bangalore,No
20.7,2.6,5.6,Guwahati,Yes
26.5,7.3,26.1,Guwahati,No
25,2.7,6,Vijaipur,Yes
23.8,9.7,94.8,Bangalore,No
41.33473272,84.67057288,30.4,Bangalore,No
27.7,2.6,64.5,Guwahati,No
43.51108124,79.76181921,42.6,Bangalore,No
30.3,10.5,0.7,Guwahati,Yes
40.10062103,86.31291779,26.6,Guwahati,No
19.7,6.9,74.8,Vijaipur,No
31.6,13.7,11.1,Guwahati,Yes
17.8,6.3,84.2,Guwahati,No
42.15681556,73.92457757,77.2,Vijaipur,No
19.7,9,98.3,Bangalore,No
34.2,7.7,3.1,Vijaipur,Yes
33.2,4.7,30.6,Guwahati,No
23.7,15,16.7,Guwahati,Yes
42.52493422,57.83069334,98.1,Guwahati,No
28.8,7.9,68.1,Guwahati,No
18.2,2.1,66.3,Bangalore,No
21.8,1.9,24.6,Vijaipur,No
17,3.7,3.2,Bangalore,No
16,10.2,87.5,Guwahati,No
17.3,6.2,99.8,Guwahati,No
46.24895408,61.71812669,62.8,Vijaipur,No
29.7,11.6,79.6,Bangalore,No
25.6,2.3,44.2,Vijaipur,No
34.7,14.8,6.8,Guwahati,Yes
33.4,8.1,19.3,Guwahati,Yes
34.7,5.3,88.5,Guwahati,No
21.6,10.4,84.3,Bangalore,No
26.4,7.9,94.1,Guwahati,No
33.8,10.5,3,Bangalore,Yes
24.7,1.7,87.3,Vijaipur,No
18,14.9,14.2,Vijaipur,Yes
34.2,12.1,80.8,Vijaipur,No
47.07436688,41.3908764,59.1,Guwahati,No
26.6,7.5,32.7,Vijaipur,No
41.2526755,65.85005695,86.4,Vijaipur,No
15.7,5.1,97.6,Guwahati,No
28.1,12.4,99.7,Guwahati,No
20.3,9.9,10.5,Bangalore,Yes
17.8,13.5,30.5,Guwahati,No
31.2,3.3,5.4,Guwahati,Yes
46.41251092,36.9288385,74.9,Guwahati,No
37.2898786,75.28024525,86.3,Bangalore,No
38.63034631,78.13116978,50.7,Guwahati,No
20.6,5,19.4,Vijaipur,Yes
24.4,7.3,38.4,Bangalore,No
24,10.5,62.4,Vijaipur,No
34.5,6.6,47.1,Bangalore,No
22.6,10.9,36,Bangalore,No
34.4,9,33.7,Bangalore,No
28.6,5.4,37.1,Guwahati,No
18.7,1.6,31.4,Vijaipur,No
34.6,14.5,65.8,Guwahati,No
34.7,2.6,20.8,Guwahati,No
39.88896235,49.30903389,27.5,Guwahati,No
32.5,12.6,99.4,Vijaipur,No
45.25743975,99.24082314,62.6,Vijaipur,No
22.2,7.9,58.9,Vijaipur,No
25.7,2.5,43.9,Guwahati,No
26.5,5,2.1,Guwahati,Yes
32.2,1.6,1.4,Bangalore,Yes
46.17528675,73.15737227,55.3,Vijaipur,No
20.2,9.3,37.7,Bangalore,No
27,6.7,58.8,Bangalore,No
23.2,11.3,90.1,Guwahati,No
41.50857604,94.25953807,35.3,Vijaipur,No
23.8,14.3,13.4,Guwahati,Yes
37.21736522,90.52921312,47.2,Vijaipur,No
33.6,3.5,33.6,Bangalore,No
33.5,7.5,65.5,Vijaipur,No
30.3,13.7,4.8,Guwahati,Yes
24.8,3.1,52.2,Vijaipur,No
30.6,1.9,83.5,Vijaipur,No
48.92487583,38.60403178,69.5,Bangalore,No
34.6,7.1,1.2,Bangalore,Yes
27.2,10.5,66.8,Bangalore,No
15.2,6.8,16.5,Bangalore,No
37.96397994,98.70174846,73.8,Guwahati,No
18.3,12.5,18.5,Guwahati,Yes
34.7,4.1,62.4,Bangalore,No
22.3,7.4,38.7,Bangalore,No
36.7142851,97.20634911,52.6,Vijaipur,No
30,6.5,61.5,Guwahati,No
26,4.9,16.7,Vijaipur,Yes
41.36599994,57.3796232,67.3,Vijaipur,No
34.6,6.9,41.2,Bangalore,No
39.78211733,47.5070007,30.9,Vijaipur,No
25.4,6.8,35.5,Bangalore,No
34.4,4.1,37.4,Bangalore,No
28.2,4.9,88.9,Guwahati,No
21,7.7,18.7,Bangalore,Yes
35.89487564,88.3370409,67.1,Guwahati,No
34.3,5.7,56.3,Bangalore,No
27.7,7.6,89.3,Bangalore,No
29,3.5,53.8,Guwahati,No
17.4,11.2,99.8,Bangalore,No
49.5965872,67.84180625,45.9,Guwahati,No
20.9,3.8,98.7,Guwahati,No
31.3,4.9,5.8,Guwahati,Yes
17.9,11.1,94,Bangalore,No
38.19901874,57.86795522,61.8,Vijaipur,No
22.8,6.3,88.3,Guwahati,No
30.1,6.1,98.1,Vijaipur,No
42.39863452,55.4660461,81.5,Guwahati,No
27.7,8.9,88.9,Vijaipur,No
27.6,1.7,61.3,Vijaipur,No
31.1,3.6,47.8,Bangalore,No
30.3,11.8,44.4,Vijaipur,No
34.5,2,3.9,Guwahati,Yes
15.2,12,64.3,Bangalore,No
15.9,7.9,35.9,Guwahati,No
45.93352424,89.4693866,81.8,Vijaipur,No
19.5,13.9,66.5,Guwahati,No
28.9,2.1,88.3,Bangalore,No
33.5,14.9,45.7,Guwahati,No
42.08318887,68.82830251,35,Bangalore,No
47.47664552,58.58475429,9.4,Guwahati,No
30.4,3.2,63.7,Vijaipur,No
29.5,3.7,90.2,Guwahati,No
27.6,4.8,75,Guwahati,No
24.4,1.5,51,Vijaipur,No
20.9,4.2,95.7,Bangalore,No
30.6,3.6,73.8,Bangalore,No
39.41259385,51.412088,83.6,Bangalore,No
36.48018966,78.61503927,48.6,Vijaipur,No
20.9,6.4,91.2,Bangalore,No
20,11.3,70.7,Vijaipur,No
39.27889381,84.78772409,71.2,Vijaipur,No
37.07325687,81.24932084,99.1,Guwahati,No
27.5,1.1,53.1,Guwahati,No
47.83473614,83.64332547,36.6,Bangalore,No
36.80269251,50.10315624,54.5,Guwahati,No
18.3,8.8,22.8,Bangalore,No
48.19502986,65.05311437,17.9,Vijaipur,No
29.3,8.5,26.1,Guwahati,No
19.6,1.5,17.1,Vijaipur,Yes
34.9,9,47.2,Bangalore,No
44.69969478,50.56352624,93.7,Vijaipur,No
16.9,14.1,46.6,Guwahati,No
30,12.8,3.3,Bangalore,Yes
16.7,12.5,97.5,Bangalore,No
35.66813365,85.2140342,29.1,Bangalore,No
46.70872081,45.43765967,17.5,Vijaipur,No
41.25739948,88.91833838,77.4,Bangalore,No
44.08917617,83.26864516,28.5,Guwahati,No
17.7,4.5,92.1,Vijaipur,No
32.1,2.9,80.4,Vijaipur,No
23,3.3,19.4,Vijaipur,Yes
22.3,12.9,37.5,Guwahati,No
42.7044476,52.70137826,29.8,Guwahati,No
26.4,7.4,62.9,Bangalore,No
27.6,7.1,68.8,Vijaipur,No
19.3,8.5,99.5,Guwahati,No
23.3,4.1,45.3,Bangalore,No
42.53523922,53.73878519,41.4,Guwahati,No
21.8,4,11.6,Bangalore,Yes
32.5,12.9,17.7,Bangalore,Yes
32.3,12,55.6,Bangalore,No
39.76019521,45.26029784,92.9,Guwahati,No
26,12.8,42,Guwahati,No
43.4469083,95.81268724,90.7,Guwahati,No
48.17414711,91.25870363,37.1,Guwahati,No
44.55811098,88.46238071,16.4,Guwahati,No
46.65009763,52.30659675,62.6,Bangalore,No
16.5,14.3,60,Bangalore,No
23.5,11.4,13.4,Vijaipur,Yes
34.5,10.5,73.9,Bangalore,No
17,11.9,48.4,Guwahati,No
34.5,2.8,50,Bangalore,No
17,13.1,49.2,Guwahati,No
30.5,5.3,42.5,Guwahati,No
26,2.9,39.5,Guwahati,No
15.8,11,65.2,Vijaipur,No
28,4.6,42.8,Vijaipur,No
33.4,6.5,90.8,Bangalore,No
26,3,75.7,Guwahati,No
18.1,5.7,9.6,Guwahati,Yes
31.2,5.6,35.1,Guwahati,No
15.6,10.3,94.8,Vijaipur,No
20.3,10.1,2.9,Vijaipur,Yes
19.7,3,37.5,Vijaipur,No
29.6,14.1,59.4,Bangalore,No
18,7,67.6,Bangalore,No
24.9,12.9,43.3,Guwahati,No
23.3,8.4,15,Bangalore,Yes
17.1,4.8,95.6,Bangalore,No
21.1,1.3,88.5,Bangalore,No
38.97995576,82.69725155,38.2,Vijaipur,No
34.2,7.4,60.9,Guwahati,No
39.7564168,73.50440012,68.9,Vijaipur,No
29.2,5.7,95.8,Vijaipur,No
46.45415597,46.90571077,36.1,Vijaipur,No
21.6,6.5,20.1,Vijaipur,No
32.1,14.3,21.7,Bangalore,No
32.7,14.3,29.4,Guwahati,No
30.7,11.4,96.8,Guwahati,No
19.3,5.5,19.7,Vijaipur,Yes
27.8,3.1,17.7,Bangalore,Yes
26.2,7.8,34.6,Bangalore,No
41.99033199,46.21280964,53.4,Bangalore,No
25.4,11.5,9.3,Guwahati,Yes
26.1,4.5,76.3,Bangalore,No
